"TIMESTAMP_START","TIMESTAMP_END","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT","T_CANOPY","T_SI111_body","PPFD_IN","VWC_1_1_1","Ka_1_1_1","T_1_1_1","BulkEC_1_1_1","VWC_1_2_1","Ka_1_2_1","T_1_2_1","BulkEC_1_2_1","VWC_1_3_1","Ka_1_3_1","T_1_3_1","BulkEC_1_3_1","VWC_1_4_1","Ka_1_4_1","T_1_4_1","BulkEC_1_4_1","VWC_1_5_1","Ka_1_5_1","T_1_5_1","BulkEC_1_5_1","VWC_1_6_1","Ka_1_6_1","T_1_6_1","BulkEC_1_6_1","VWC_1_7_1","Ka_1_7_1","T_1_7_1","BulkEC_1_7_1","VWC_1_8_1","Ka_1_8_1","T__1_8_1","BulkEC_1_8_1","VWC_1_9_1","Ka_1_9_1","T_1_9_1","BulkEC_1_9_1","WS","WD","LWmV_1_1_1","LWMDry_1_1_1","LWMCon_1_1_1","LWMWet_1_1_1","LWmV_1_1_2","LWMDry_1_1_2","LWMCon_1_1_2","LWMWet_1_1_2"
202504170806,202504170830,23.4877,267.3168,514.7965,120.8789,274.9221,401.5229,14.00975,18.32586,1082.937,0.1784123,9.68819,10.93417,0.0485929,0.1659676,9.019389,11.29122,0.080882,0.2121584,11.62213,12.63049,0.1546597,0.2280522,12.5939,13.18618,0.2119559,0.1719033,9.335404,13.37286,0.1443641,0.1605478,8.735596,13.58386,0.1317122,0.1435481,7.874884,13.2561,0.038697,0.0466875,3.822317,12.95382,0,0.1333497,7.379943,12.44668,0.027757,4.374067,183.7897,259.7871,78.33334,0,0,257.9968,78.33334,0,0
202504170830,202504170900,22.86613,334.2639,603.4385,137.9233,277.1248,408.3762,15.28734,18.47601,1280.263,0.17842,9.688615,11.44821,0.0508601,0.1669931,9.0736,11.51565,0.0847633,0.2136228,11.71003,12.56146,0.1560608,0.2293957,12.67783,13.13961,0.2089368,0.1674697,9.098848,13.37286,0.1440926,0.1589876,8.65474,13.58386,0.1300174,0.144954,7.944371,13.27944,0.03275,0.048361,3.880034,12.95382,0,0.1381149,7.609207,12.46963,0.0311874,4.454699,180.7995,259.5785,100,0,0,258.081,100,0,0
202504170900,202504170930,22.17963,400.5577,687.1636,152.6329,279.8528,413.8259,16.28158,18.65783,1470.551,0.17527,9.51706,12.03576,0.0489636,0.1626802,8.846715,11.80896,0.0836821,0.2133832,11.69563,12.53848,0.1577125,0.2274905,12.55889,13.06985,0.2108484,0.1716764,9.323226,13.32614,0.1475727,0.1597038,8.69181,13.53686,0.1313092,0.1442977,7.911894,13.2561,0.0278611,0.0450001,3.764558,12.95382,0,0.1361479,7.514143,12.46963,0.0316173,5.379329,201.1948,259.368,100,0,0,257.7653,100,0,0
202504170930,202504171000,21.7511,483.9464,797.2834,173.3721,284.6887,424.6535,18.04649,18.95689,1703.488,0.1743814,9.468945,12.74569,0.0520914,0.1668541,9.066242,12.19512,0.0845729,0.2080285,11.376,12.53848,0.1566436,0.2272446,12.54358,13.0234,0.2106714,0.165764,9.00865,13.2561,0.1406832,0.160226,8.71889,13.53686,0.1326114,0.1429806,7.846921,13.2561,0.0344718,0.0434703,3.712574,12.95382,0,0.1329631,7.361497,12.46963,0.0319085,4.778151,213.5669,258.8604,100,0,0,257.2149,100,0,0
202504171000,202504171030,21.02398,530.1531,851.9313,179.6588,287.717,429.8363,18.96609,19.21284,1826.769,0.1781774,9.675345,13.60733,0.0491109,0.1620618,8.814418,12.63049,0.0835343,0.2118049,11.60096,12.58447,0.1544475,0.2289951,12.65278,12.97698,0.2083984,0.1653155,8.985009,13.23275,0.143594,0.157788,8.592833,13.48995,0.1311093,0.1429889,7.847327,13.2561,0.0336215,0.0479389,3.865435,12.95382,0,0.135837,7.499174,12.46963,0.028321,4.821436,220.9607,258.603,100,0,0,257.0531,100,0,0
202504171030,202504171100,20.74352,581.0424,919.5765,190.7473,287.141,434.9277,19.93567,19.28089,1973.205,0.174821,9.492736,14.55758,0.0546701,0.1653981,8.989358,13.20944,0.082867,0.2098317,11.48315,12.6535,0.1572283,0.2289076,12.64731,12.95382,0.2115602,0.1659483,9.018375,13.18618,0.1441398,0.1595239,8.682495,13.48995,0.1313648,0.1469422,8.043166,13.23275,0.038261,0.0460107,3.799098,12.95382,0,0.1343759,7.429019,12.46963,0.0275639,5.876296,229.3216,258.5479,100,0,0,257.4458,100,0,0
202504171100,202504171130,20.37449,609.2887,955.0334,194.6055,287.6805,438.8197,20.76836,19.62823,2053.22,0.174108,9.454163,15.52886,0.0491035,0.1625781,8.84138,13.84301,0.0846975,0.2108687,11.54499,12.76876,0.1546637,0.2283174,12.61044,12.95382,0.2092582,0.1674564,9.098146,13.13961,0.142768,0.1613864,8.779215,13.46652,0.1310706,0.1464987,8.021075,13.23275,0.0335728,0.0464859,3.815394,12.95382,0,0.1356216,7.488813,12.44668,0.0292097,5.554912,219.64,258.6346,100,0,0,258.3894,100,0,0
202504171130,202504171200,20.15966,630.3695,978.249,197.2104,287.1376,437.8066,20.92729,20.01486,2100.354,0.1760537,9.559601,16.49777,0.0497699,0.1614584,8.782962,14.50961,0.0843955,0.2113733,11.57514,12.93063,0.1566872,0.2249006,12.39811,12.95382,0.2087112,0.1682772,9.141707,13.13961,0.1407026,0.1626,8.842523,13.44308,0.1277729,0.1495922,8.175787,13.23275,0.037932,0.0473792,3.846121,12.97698,0,0.1377019,7.589198,12.46963,0.0314699,5.767846,174.9713,258.8217,100,0,0,258.5824,100,0,0
202504171200,202504171230,20.04676,633.8423,983.3717,197.2225,286.0981,438.4049,21.2215,20.16254,2112.663,0.1723607,9.359984,17.31018,0.0507203,0.1631304,8.870264,15.13772,0.0856435,0.2151568,11.80247,13.11633,0.1587094,0.2280914,12.59635,12.97698,0.2085371,0.1651883,8.978309,13.11633,0.1410846,0.159396,8.67587,13.41964,0.1290015,0.1497672,8.184589,13.18618,0.0333057,0.0499628,3.935685,12.95382,0,0.1395118,7.677078,12.46963,0.0312629,6.714414,179.8323,258.5245,100,0,0,258.8768,100,0,0
202504171230,202504171300,20.07562,621.0889,974.1294,195.5618,285.0631,442.5418,21.91794,20.49553,2094.708,0.1724242,9.363393,17.98257,0.05219,0.1607965,8.74852,15.72579,0.0845424,0.2107519,11.53801,13.34951,0.1493111,0.2264189,12.49224,13.0466,0.2078126,0.1643158,8.932421,13.11633,0.14133,0.1554747,8.474069,13.41964,0.1316725,0.1410213,7.750756,13.18618,0.0351412,0.0454267,3.779119,12.95382,0,0.1352011,7.468602,12.49258,0.0327148,5.962592,192.4833,258.3066,100,0,0,258.8864,100,0,0
202504171300,202504171330,19.98966,570.6019,908.791,182.5168,286.3165,441.9888,21.9457,20.82241,1964.751,0.1694531,9.204298,18.61364,0.0508118,0.1619453,8.808342,16.27218,0.0847428,0.2111489,11.56172,13.60733,0.1554902,0.2252583,12.42025,13.11633,0.2082347,0.1672436,9.086867,13.11633,0.143171,0.1561582,8.509074,13.39627,0.1298438,0.1453204,7.962536,13.18618,0.0353438,0.0467073,3.822998,12.95382,0,0.1334469,7.384585,12.44668,0.0296775,5.89454,199.2089,258.9175,100,0,0,258.8783,100,0,0
