"""TIMESTAMP_START""","""TIMESTAMP_END""","""CO2""","""CO2_SIGMA""","""H2O""","""H2O_SIGMA""","""FC""","""FC_SSITC_TEST""","""LE""","""LE_SSITC_TEST""","""ET""","""ET_SSITC_TEST""","""H""","""H_SSITC_TEST""","""G""","""SG""","""FETCH_MAX""","""FETCH_90""","""FETCH_55""","""FETCH_40""","""WD""","""WS""","""WS_MAX""","""USTAR""","""ZL""","""TAU""","""TAU_SSITC_TEST""","""MO_LENGTH""","""U""","""U_SIGMA""","""V""","""V_SIGMA""","""W""","""W_SIGMA""","""PA""","""TA_1_1_1""","""RH_1_1_1""","""T_DP_1_1_1""","""TA_1_1_2""","""RH_1_1_2""","""T_DP_1_1_2""","""TA_1_1_3""","""RH_1_1_3""","""T_DP_1_1_3""","""TA_1_1_4""","""VPD""","""T_SONIC""","""T_SONIC_SIGMA""","""PBLH""","""TS_1_1_1""","""TS_1_1_2""","""SWC_1_1_1""","""SWC_1_1_2""","""ALB""","""NETRAD""","""SW_IN""","""SW_OUT""","""LW_IN""","""LW_OUT""","""P"""
202503101630,202503101700,411.3836,113.5544,2.443198,1.232875,-13.95229,6,-10.9497,7,-0.01601974,7,40.363,3,587.8329,-76.6616,44.96323,124.2578,63.95313,48.40104,223.1509,4.479546,7.766469,0.2791542,-0.06414371,0.07881222,7,-40.44247,4.366442,0.9816598,0,1.022108,0.0,0.3083916,84.36024,18.35071,10.44308,-20.98485,18.24133,11.99357,-11.82983,17.06248,16.80816,-8.314504,17.10382,18.51486,18.52546,0.390216,1494.947,15.26979,11.64845,2.380194,3.131278,23.42284,84.03725,281.2337,65.79024,281.4008,412.807,0.0
202503101700,202503101730,434.647,0.3529822,3.466802,0.08644293,1.004735,4,15.60186,2,0.02282126,2,19.89746,1,612.8934,-51.34441,47.53836,131.3677,67.61722,51.17397,235.7491,3.491043,6.51835,0.2816609,-0.03279155,0.08028185,4,-79.10969,3.414326,0.9185944,0,0.6995822,7.450581e-09,0.2902362,84.3461,16.80012,15.11392,-9.885673,17.99605,14.07112,-9.833462,16.84709,16.78632,-8.50703,16.85846,17.79596,18.31661,0.2150662,1476.237,13.90221,11.60912,2.346648,3.129056,24.52837,-2.127501,168.8718,41.30564,279.6398,409.3334,0.0
202503101730,202503101800,435.0486,3.103546,3.561062,0.05809362,0.873871,4,3.931596,4,0.005746902,4,-14.35162,1,596.6209,-73.20886,40.80966,116.2372,58.64889,44.3256,247.1722,3.609285,6.924042,0.2584626,0.02872721,0.06774882,4,90.30218,3.522378,1.022836,0,0.778135,0.0,0.3223103,84.32313,16.06788,16.25064,-9.55534,17.43605,14.96998,-9.49532,16.13193,17.90463,-8.263499,16.09336,16.99977,17.76465,0.2269573,206.8502,13.31292,11.51376,2.318353,3.128139,25.84591,-84.54843,49.61926,12.6923,277.443,398.9184,0.0
202503101800,202503101830,434.4137,0.616834,3.545729,0.09706269,-0.6262436,8,-4.111028,8,-0.005997841,8,39.93326,8,593.6106,-85.39288,86.33913,238.3886,122.8069,92.94248,11.99036,2.187157,4.707546,0.359621,-0.02999447,0.1320353,4,-86.48694,1.118914,1.271057,0,1.537698,0.0,0.1757582,84.30469,14.09978,18.44772,-9.615607,15.46332,16.9751,-9.555399,14.16301,19.9038,-8.575012,14.02804,14.70686,15.78832,1.301554,1472.668,11.74116,11.28193,2.328065,3.128,17.57625,-109.6483,2.503067,1.466934,273.0912,383.7756,0.0
202503101830,202503101900,433.4435,0.7548714,3.914506,0.0235757,0.484366,7,-0.817567,7,-0.001192027,7,-18.20548,7,587.6354,-93.89205,3.265469,102.7615,15.63418,9.25087,95.17163,1.223073,3.803724,0.1445511,0.2122513,0.02137833,7,12.22197,0.5395566,1.168386,0,0.5731096,0.0,0.1488235,84.2989,13.40783,21.18782,-8.363654,15.00644,19.21335,-8.29219,13.48592,22.59915,-7.461707,13.43976,13.84628,15.3646,0.63661,121.9804,10.60427,10.94106,2.264894,3.129528,0.0,-114.2725,-5.640426,1.199516,267.2555,374.6881,0.0
202503101900,202503101930,432.5302,1.335785,3.818184,0.06336891,1.434847,7,1.359961,7,0.001981263,7,-23.19187,7,661.292,-44.94647,5.81938,199.036,25.20416,16.1548,5.300293,1.116888,2.806021,0.1570603,0.2094511,0.02531679,7,12.38537,0.7940926,0.8288109,0,0.4662973,-3.72529e-09,0.1328457,84.31067,12.42009,22.0487,-8.68966,14.195,19.77438,-8.610295,12.65087,23.30561,-7.776544,12.67269,13.05812,14.54338,0.7854637,122.158,9.666115,10.49325,2.277851,3.132055,0.0,-111.5191,-5.123397,1.416215,261.5881,366.5676,0.0
202503101930,202503102000,432.1441,0.4924266,3.893129,0.05695596,0.1182571,9,-0.4904089,9,-0.0007141119,9,-0.5751952,9,700.8485,-31.85281,79.97645,2209.763,313.7234,196.1367,4.016724,2.496498,4.195578,0.07857712,0.04375505,0.006348476,7,59.28756,2.46348,0.5668266,0,0.4030754,2.235174e-08,0.1348777,84.32102,12.18538,22.86677,-8.420458,13.53398,21.04567,-8.359928,12.15116,24.53113,-7.540729,12.12046,12.31119,13.88814,0.7774468,173.1386,9.678423,10.07558,2.213499,3.122666,0.0,-115.844,-5.803902,0.1630118,259.2681,369.1452,0.0
202503102000,202503102030,432.0484,0.4439191,3.889477,0.02925464,-0.0126528,9,-0.6033509,9,-0.0008772171,9,-11.09525,9,773.4628,-24.50062,130.4791,5324.003,754.9126,423.889,5.56958,2.934623,4.778522,0.08475974,0.6422874,0.007428962,9,4.038893,2.886956,0.5347478,0,0.5118934,-7.450581e-09,0.1292917,84.32045,10.54763,25.47207,-8.428795,11.82551,23.52541,-8.371118,10.53544,27.06334,-7.65763,10.45532,10.67246,12.17747,0.9751915,113.0858,9.351446,9.692794,2.2146,3.090139,0.0,-113.2086,-6.267328,-0.5013066,255.7768,363.2194,0.0
202503102030,202503102100,431.4516,0.6291013,3.822461,0.02575858,-0.4120344,8,-0.02581644,8,-3.746072e-05,8,32.42529,8,794.939,-56.24774,39.39674,339.5676,93.76252,67.02265,19.70416,3.173274,5.556954,0.1885668,-0.1699374,0.0370384,7,-15.2652,3.102806,0.536829,0,0.6768199,1.490116e-08,0.1606759,84.31556,8.504915,28.76152,-8.650038,9.740765,26.58477,-8.593942,8.466214,30.36195,-7.980902,8.364142,8.928891,10.08429,1.083954,1794.696,9.065666,9.367901,2.156198,3.079778,0.0,-105.8788,-5.899225,-0.4365517,253.4458,353.862,0.0
202503102100,202503102130,430.7083,1.123864,3.722204,0.01617825,-0.7601536,8,-0.868589,8,-0.001259715,8,15.81777,8,885.1547,-27.10936,59.54402,164.4708,84.69207,64.0967,23.94266,3.773684,5.504282,0.2083727,-0.0612341,0.04531908,8,-42.36414,3.699388,0.4769868,0,0.7716542,1.490116e-08,0.1620404,84.32287,8.031818,28.93821,-8.985957,9.230967,26.82832,-8.931616,7.930596,30.81366,-8.258978,7.873081,8.611705,9.564688,1.246424,1494.017,8.778697,9.005532,2.167099,3.084083,0.0,-103.5029,-5.055974,0.163916,252.243,350.526,0.0
