"TIMESTAMP_START","TIMESTAMP_END","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FC","FC_SSITC_TEST","LE","LE_SSITC_TEST","ET","ET_SSITC_TEST","H","H_SSITC_TEST","G","SG","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","WD","WS","WS_MAX","USTAR","ZL","TAU","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","PA","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","TA_1_1_3","RH_1_1_3","T_DP_1_1_3","TA_1_1_4","VPD","T_SONIC","T_SONIC_SIGMA","PBLH","TS_1_1_1","TS_1_1_2","SWC_1_1_1","SWC_1_1_2","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT","P"
202503272330,202503280000,430.0884,1.007737,3.918179,0.1572034,0.5696763,8,3.839422,8,0.00561062,8,-11.62029,8,-21.95325,-26.7785,29.80941,1024.551,128.1445,78.08615,19.58026,2.411804,4.361071,0.1607234,0.09659805,0.02612618,4,26.85489,2.287195,0.4574878,0,0.7459137,3.72529e-09,0.09697041,84.03601,15.95856,17.94311,-8.394425,17.44301,16.44627,-8.328767,15.84445,22.13219,-5.756848,15.89085,16.73895,17.80457,0.7511718,137.8857,12.20901,12.10335,8.524643,7.52184,0,-78.60595,-3.704819,-0.54402,311.6823,387.1275,0
202503280000,202503280030,428.7554,1.046129,4.04646,0.2094948,0.782427,9,3.729256,9,0.005453721,9,-16.37097,9,8.787329,3.422132,415.2854,5604.628,2147.277,1243.977,2.638428,2.557705,4.041262,0.05210457,4.016937,0.002738608,9,0.645798,2.50254,0.5072104,0,0.5282828,-7.450581e-09,0.1126966,84.04678,16.76697,17.60272,-7.989376,18.34096,16.06735,-7.919752,16.62548,21.73941,-5.345614,16.76571,17.81309,18.71541,1.022845,109.3976,12.24248,11.96482,8.534037,7.449122,0,-67.24006,-2.612297,0.1434487,326.0829,390.5672,0
202503280030,202503280100,429.311,1.174172,4.279302,0.2504707,0.05584196,9,2.50879,9,0.00367028,9,-0.7129154,9,-7.845843,-12.87546,48.10711,1134.097,176.6827,112.53,5.77002,1.982632,3.67653,0.09348314,0.0241596,0.00880232,7,107.3747,1.878537,0.5070997,0,0.6039038,7.450581e-09,0.1065589,84.04326,17.08841,18.23876,-7.269465,18.56478,16.75352,-7.203862,17.01902,22.20552,-4.735608,17.03418,17.90293,18.96112,0.7841997,225.4073,12.15479,11.88789,8.535096,7.451204,0,-64.05175,-3.240121,-0.7642086,332.0224,393.5982,0
202503280100,202503280130,428.8657,1.396378,4.488922,0.3545622,0.3992791,9,10.58199,9,0.01548501,9,-6.775851,9,11.06537,6.540034,146.8764,5347.792,857.7472,480.3776,7.742523,2.434317,4.135702,0.06657858,0.7315983,0.004459958,9,3.545839,2.38672,0.4802766,0,0.4636918,7.450581e-09,0.1422728,84.03538,17.41381,18.73112,-6.666205,18.85667,17.27575,-6.601971,17.2807,22.76678,-4.186728,17.33234,18.12822,19.27269,0.8389908,112.5498,12.27933,11.85341,8.535742,7.456107,0,-58.26311,-2.560308,-0.1673467,339.9036,395.7738,0
202503280130,202503280200,428.682,1.029809,4.363743,0.1804207,0.4863911,7,3.881344,7,0.005680459,7,-6.196742,7,-7.604448,-11.36095,24.61601,919.6314,109.617,66.19222,357.8177,1.613104,3.699767,0.1174877,0.1294238,0.01388188,7,20.04368,1.452057,0.5938236,0,0.7173808,3.72529e-09,0.1189673,84.03291,17.38824,18.22307,-7.015316,18.99201,16.58494,-6.943862,17.41752,22.07632,-4.466156,17.44015,18.39687,19.39676,0.399244,130.4823,12.14871,11.8244,8.497574,7.460146,0,-58.89681,-2.859537,-0.3503804,338.8161,395.2038,0
202503280200,202503280230,428.9603,1.351639,4.543856,0.2200592,0.9645435,8,5.941702,8,0.00869513,8,-5.386996,8,-3.720861,-7.131386,16.70003,549.6045,70.82726,43.69528,4.645416,1.368203,4.700219,0.1208377,0.1002991,0.01468634,5,25.86395,1.14012,0.7177387,0,0.5754737,3.72529e-09,0.1632726,84.02156,17.31801,19.05588,-6.495734,18.90509,17.38151,-6.42478,17.331,22.86608,-4.075694,17.36592,18.14091,19.32633,0.7052755,136.8087,12.13262,11.77801,8.491668,7.427566,0,-53.89164,-2.493918,-0.2179214,343.2424,394.858,0
202503280230,202503280300,428.7924,1.240455,4.711164,0.2759421,1.101089,9,5.24721,9,0.007679088,9,0.4595975,9,-6.891517,-9.733601,0.3090165,9.142566,3.211331,0.6693716,286.768,0.7302801,3.494485,0.147284,-0.0085859,0.02181005,4,-302.1384,0.1566352,0.578495,0,0.6035368,-1.862645e-09,0.168483,84.00647,17.2253,19.85802,-6.040416,18.96298,17.94872,-5.962418,17.36929,23.52596,-3.674577,17.35081,18.07539,19.39979,0.5653741,1368.32,12.0471,11.76876,8.465784,7.383644,0,-52.44235,-2.477497,0.05728859,344.024,393.9316,0
202503280300,202503280330,429.2326,2.19333,4.858888,0.2492655,1.917508,8,2.982512,8,0.00436359,8,-8.286368,8,0.07177878,-2.503026,58.10365,163.5719,83.20422,62.91583,217.5162,0.7794513,3.458498,0.2793465,0.01309743,0.0785301,6,198.064,0.1910178,0.7115826,0,0.4951365,0,0.1934113,84.00535,16.90152,20.90423,-5.630824,18.58011,18.96174,-5.555149,17.08284,24.42415,-3.40891,17.00776,17.43424,19.02996,0.6190189,293.029,11.96829,11.73313,8.463222,7.385717,0,-47.70592,-1.629788,1.007349,345.8031,390.8719,0
202503280330,202503280400,429.6525,2.564682,5.107845,0.3552373,1.576462,7,13.50519,7,0.01973689,7,-23.19427,7,-9.736723,-12.31632,47.22878,136.6996,68.2899,51.5689,59.48303,1.765642,5.72929,0.2015226,0.09626136,0.0410363,6,26.94882,1.376215,0.9512434,0,1.0294,2.793968e-09,0.1807832,84.0196,16.00927,23.28683,-4.976992,17.4911,21.38046,-4.909693,15.92359,27.45524,-2.840578,15.93144,15.81113,17.96209,0.7528926,137.9878,11.87802,11.64942,8.465428,7.387795,0,-52.88303,-2.648615,-0.3143227,338.7996,389.3483,0
202503280400,202503280430,428.7702,1.428299,4.941444,0.239079,1.272203,7,12.67111,7,0.01852311,7,-11.48538,7,-17.95205,-20.72478,9.973588,352.9161,43.9496,27.13919,60.50131,1.172092,3.129834,0.1322869,0.1629918,0.01767159,7,15.91571,0.903169,0.5709606,0,0.670922,1.862645e-09,0.1114893,84.04509,16.22946,22.20835,-5.394476,17.73226,20.32476,-5.326373,16.21403,26.23024,-3.188846,16.19306,16.24358,18.1885,0.4911527,125.9953,11.77537,11.60143,8.406058,7.389553,0,-53.39037,-2.584253,-0.3444302,338.7218,389.8723,0
202503280430,202503280500,429.8086,2.494995,5.015557,0.240373,2.610301,3,11.23705,3,0.0164132,3,-19.33273,4,-2.944058,-6.026831,3.65875,110.8236,16.82935,10.09205,55.42664,0.8524753,2.631956,0.1637872,0.1494827,0.02717099,6,17.35405,0.6354522,0.4255738,0,0.5611334,3.72529e-09,0.1424485,84.04884,15.27583,23.96031,-5.200768,16.82006,21.85585,-5.130436,15.35536,27.90382,-3.099583,15.29788,15.03801,17.28167,0.4427012,127.5588,11.62054,11.54677,8.458199,7.391954,0,-49.48269,-2.575172,-0.3618783,337.9607,385.2301,0
202503280500,202503280530,429.459,3.02575,4.99086,0.2922285,2.24107,7,11.74151,7,0.01714357,7,-13.78769,7,-6.226482,-9.755426,11.473,464.9162,52.95308,32.29769,25.38455,0.9323646,2.398257,0.1125747,0.3227119,0.01285379,1,8.03853,0.83823,0.439414,0,0.3979324,0,0.1420419,84.04972,14.84818,24.50543,-5.276577,16.50992,22.19392,-5.20085,14.96164,28.42135,-3.192897,14.99438,14.68405,16.96864,0.4645105,117.4332,11.55608,11.46498,8.433921,7.394862,0,-43.28197,-1.573581,0.2254538,340.3888,381.8718,0
202503280530,202503280600,428.6156,1.411232,5.263228,0.2909409,1.951052,3,17.22559,3,0.02514858,3,-25.2267,3,1.109901,-2.725785,45.44709,131.6629,65.72832,49.63303,47.21948,1.981678,5.683675,0.2028255,0.1020195,0.04174164,3,25.42779,1.895018,0.9919157,0,0.5612142,1.862645e-09,0.1909118,84.06575,14.93241,25.70352,-4.56465,16.3832,23.5734,-4.49815,14.87126,29.92394,-2.574792,14.8744,14.30371,16.86671,0.423218,136.3346,11.59674,11.35582,8.405174,7.357574,0,-38.8872,-1.435671,-0.07053784,346.5226,384.0446,0
